gbifID,institutionCode,collectionCode,basisOfRecord,eventDate,year,month,day,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,species,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Name,level2Name,iucnRedListCategory
1320543963,USNM,MAMM,PRESERVED_SPECIMEN,5/30/67,1967,5,30,11.57,4.48,Animalia,Chordata,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris thebaica,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320543321,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros tephrus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320534607,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320534479,USNM,MAMM,PRESERVED_SPECIMEN,6/10/66,1966,6,10,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,Mops,Mops condylurus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320534121,USNM,MAMM,PRESERVED_SPECIMEN,3/13/67,1967,3,13,8.9,8.28,Animalia,Chordata,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis niloticus,AFRICA,NORTH_AMERICA,NGA,Nigeria,Nasarawa,Akwanga,LC
1320533830,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320532276,USNM,MAMM,PRESERVED_SPECIMEN,3/5/67,1967,3,5,9.27,5.33,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mastomys,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Mokwa,NE
1320531879,USNM,MAMM,PRESERVED_SPECIMEN,5/28/67,1967,5,28,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,NE
1320528635,USNM,MAMM,PRESERVED_SPECIMEN,6/13/67,1967,6,13,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus landeri,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320528211,USNM,MAMM,PRESERVED_SPECIMEN,6/13/67,1967,6,13,10.35,4.47,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus landeri,AFRICA,NORTH_AMERICA,NGA,Nigeria,Niger,Borgu,LC
1320526238,USNM,MAMM,PRESERVED_SPECIMEN,5/29/67,1967,5,29,11.57,4.48,Animalia,Chordata,Mammalia,Rodentia,Muridae,Taterillus,Taterillus gracilis,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
1320526123,USNM,MAMM,PRESERVED_SPECIMEN,4/11/67,1967,4,11,9.45,9.2,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,Dasymys foxi,AFRICA,NORTH_AMERICA,NGA,Nigeria,Plateau,Mangu,DD
1320522541,USNM,MAMM,PRESERVED_SPECIMEN,5/5/67,1967,5,5,8.32,4.52,Animalia,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kwara,Asa,LC
1320513894,USNM,MAMM,PRESERVED_SPECIMEN,5/30/67,1967,5,30,11.57,4.48,Animalia,Chordata,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris thebaica,AFRICA,NORTH_AMERICA,NGA,Nigeria,Kebbi,Koko/Besse,LC
